date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:40	95383/95383	---M-Z	200	added ('OK')	text/html	etag:%2217497-665ac36a-8969b82232b129c7;gz%22	https://tfhtml.themepul.com/edupls/demo/index-2.html	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/index-2.html	(from )
15:19:41	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-5c6175d86d631ccb;gz%22	https://tfhtml.themepul.com/robots.txt		(from )
15:19:42	5840/5840	---M-Z	200	added ('OK')	image/svg+xml	etag:%2216d0-665ac36a-8d4f73bcad25ac60;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/img/logo/fav-icon.svg	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/img/logo/fav-icon.svg	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:43	119549/119549	---M-Z	200	added ('OK')	text/css	etag:%221d2fd-665ac36a-d2f46551d9831067;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/css/all.min.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/css/all.min.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:44	4407/4407	---M-Z	200	added ('OK')	text/css	etag:%221137-665ac36a-1d0e58c7df06a658;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/fonts/style.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/fonts/style.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:45	6915/6915	---M-Z	200	added ('OK')	text/css	etag:%221b03-665ac36a-ad3ab2dcd7aa7b0f;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/css/magnific-popup.min.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/css/magnific-popup.min.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:46	38539/38539	---M-Z	200	added ('OK')	text/css	etag:%22968b-665ac36a-26f7e17c81d232b;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/css/aos.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/css/aos.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:47	328693/328693	---M-Z	200	added ('OK')	text/css	etag:%22503f5-665ac36a-93f07558ab2b0b5d;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/css/bootstrap.min.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/css/bootstrap.min.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:48	25132/25132	---M-Z	200	added ('OK')	text/css	etag:%22622c-665ac36a-cab90b9869be63ac;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/css/swiper-bundle.min.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/css/swiper-bundle.min.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
15:19:49	90655/90655	---M-Z	200	added ('OK')	text/css	etag:%221621f-665ac36a-4f7130111bdeb47a;gz%22	https://tfhtml.themepul.com/edupls/demo/assets/css/animate.min.css	C:/Users/user/Desktop/education/tfhtml.themepul.com/edupls/demo/assets/css/animate.min.css	(from https://tfhtml.themepul.com/edupls/demo/index-2.html)
